Section,Category,Item,Details,Value/Notes
Cost Structure,Fixed Costs,Domain,www.dwellot.com renewal,$15/year
Cost Structure,Fixed Costs,Developer maintenance,Part-time developer support,$250-500/month
Cost Structure,Fixed Costs,Content creation,Blog writing and social media,$100-250/month
Cost Structure,Variable Costs,Paid advertising,Google Ads and social media ads,$200-1000/month
Cost Structure,Variable Costs,Photography,Professional property photos,$50-150/property
Cost Structure,Variable Costs,Transaction fees,Stripe payment processing fees,2.9% + $0.30/transaction
Cost Structure,Variable Costs,Customer support tools,CRM and communication tools,$0-100/month
Cost Structure,One-time,Legal setup,Business registration and contracts,$500-2000
Cost Structure,One-time,Brand development,Logo design and materials,Already completed
Cost Structure,Total Monthly,Minimum burn rate,Essential operations only,$557/month
Cost Structure,Total Monthly,Growth mode,With marketing and expansion,$1177-2177/month

Revenue Streams,Primary,Listing fees,Developers pay per property listing,$50-200/property/month
Revenue Streams,Primary,Featured listings,Premium placement on homepage,$200-500/property/month
Revenue Streams,Primary,Commission,Percentage of sale price,2-5% of sale price
Revenue Streams,Secondary,Lead generation,Pay per qualified inquiry,$20-50/lead
Revenue Streams,Secondary,Subscription,Monthly agent/developer subscriptions,$100-500/month
Revenue Streams,Future,Premium memberships,Exclusive access for buyers,$10-20/month
Revenue Streams,Future,Advertising,Banner ads and sponsored content,$100-500/month
Revenue Streams,Future,Data services,Market insights and analytics reports,$500-2000/report
Revenue Streams,Future,Property management referrals,Commission from property managers,5-10% of first year

Financial Projections,Break-even,Monthly revenue needed,Cover $557-1177 operating costs,$557-1177/month
Financial Projections,Break-even,Properties needed,"1-2 featured listings or 6-12 basic listings per month",1-2 sales
Financial Projections,Year 1,Conservative estimate,50 properties × $100 average = $5K/month,$60K/year
Financial Projections,Year 1,Optimistic estimate,100 properties × $150 average = $15K/month,$180K/year
Financial Projections,Year 2,Growth target,10-15 commission sales × $17.5K average price × 3% = $5.25K-7.88K/month,$63K-94.5K/year
Financial Projections,Year 2,Total revenue potential,Listings + commissions + subscriptions,$90K-180K/year

Strategic Recommendations,Short-term (0-3 months),Focus on partnerships,Sign 5-10 developer/agent partnerships,Priority 1
Strategic Recommendations,Short-term (0-3 months),Content marketing,Publish 12 SEO blog posts,Priority 2
Strategic Recommendations,Short-term (0-3 months),TikTok growth,Post 3-5 property videos per week,Priority 3
Strategic Recommendations,Short-term (0-3 months),Google My Business,Set up and optimize listing,Priority 4
Strategic Recommendations,Medium-term (3-6 months),Launch paid advertising,Google Ads for high-intent keywords,Priority 1
Strategic Recommendations,Medium-term (3-6 months),Expand property inventory,Target 100+ verified listings,Priority 2
Strategic Recommendations,Medium-term (3-6 months),Build agent network,Recruit 20-30 active agents,Priority 3
Strategic Recommendations,Medium-term (3-6 months),Email marketing,Newsletter for leads and buyers,Priority 4
Strategic Recommendations,Long-term (6-12 months),Mobile app development,iOS/Android apps for better UX,Priority 1
Strategic Recommendations,Long-term (6-12 months),Virtual tours,3D property walkthroughs,Priority 2
Strategic Recommendations,Long-term (6-12 months),Mortgage partnerships,Connect buyers with lenders,Priority 3
Strategic Recommendations,Long-term (6-12 months),Regional expansion,Kumasi Takoradi Tamale markets,Priority 4

Competitive Advantages,Market Position,Premium focus,Quality over quantity approach,Differentiation
Competitive Advantages,Market Position,Diaspora targeting,USD pricing and international focus,Niche
Competitive Advantages,Technology,Modern platform,Next.js vs outdated competitor sites,Technical edge
Competitive Advantages,Technology,Mobile-first,Responsive design for mobile users,UX advantage
Competitive Advantages,Technology,Fast performance,Vercel hosting for speed,Technical edge
Competitive Advantages,Partnerships,Developer relationships,Direct partnerships with top developers,Distribution
Competitive Advantages,Brand,Professional presentation,High-quality imagery and content,Brand strength
Competitive Advantages,Brand,Trust signals,Verified listings and transparency,Credibility

Key Metrics,Acquisition,Website traffic,Monthly unique visitors,Target: 10K/month
Key Metrics,Acquisition,SEO rankings,"Position for ""Ghana property"" etc",Target: Top 10
Key Metrics,Acquisition,Social media followers,TikTok and other platforms,Target: 5K followers
Key Metrics,Engagement,Property views,Average views per listing,Target: 50-100/property
Key Metrics,Engagement,Time on site,Average session duration,Target: 3-5 minutes
Key Metrics,Engagement,Inquiry rate,% of visitors who submit inquiries,Target: 2-5%
Key Metrics,Conversion,Leads generated,Monthly qualified inquiries,Target: 50-100/month
Key Metrics,Conversion,Properties sold,Monthly sales through platform,Target: 2-5/month
Key Metrics,Financial,Revenue,Monthly recurring revenue,Target: $5K-15K/month
Key Metrics,Financial,Customer LTV,Lifetime value per developer/agent,Target: $1K-5K
Key Metrics,Retention,Developer retention,% of partners staying active,Target: 80%+
Key Metrics,Retention,Repeat customers,Buyers who purchase again,Target: 10-20%
